"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"p1[63]",0.0981102400465,0.09546988,0.0289356141461453,0.027882731877,0.0556335166,0.150028323,1.00012969832316,16384.5392753827,13665.7896442808
"p1[64]",0.101985160518812,0.097746004,0.0367781113561372,0.035821921443,0.0499684216,0.169324859,1.0002748912435,17623.3119904524,13141.685581671
"p1[65]",0.0157601978923369,0.013125749,0.0107538427061095,0.00857302189653,0.00380839348,0.03674127675,1.00024371288024,12899.6052626761,12086.5192019736
"p1[66]",0.2807805968,0.277167595,0.0590167742941243,0.05868145626,0.1907596415,0.3823167625,1.00021593873687,16045.9979098944,14161.2436317207
"p1[67]",0.0302661783442125,0.0278590795,0.0140834073744478,0.0129038891604,0.011813852,0.056877735,1.00032721560936,14791.6462741891,13195.4697097137
"p1[68]",0.00283858537826645,0.00167070485,0.00353430891702117,0.001699076160642,0.000185202018,0.00942817909999998,1.00006309562535,13235.0490343025,11684.4351614788
"p1[69]",0.4906998317375,0.490423345,0.0861300289090144,0.088168672683,0.349792441,0.6327433635,1.00016101621733,16635.4559611717,13168.2407252114
"p1[70]",0.0400252820103,0.0358587345,0.0218726331429304,0.0196915781475,0.01276647015,0.0824675825,1.00016762087297,15002.2927639425,14337.1374258436
"p1[71]",0.399243256704375,0.396611465,0.0739067774295158,0.074924102799,0.281328195,0.52384484,1.00004478902487,17286.0187259736,14449.1968495208
"p1[72]",0.280492947347625,0.277427925,0.0576202288617257,0.057815047059,0.191208561,0.3794225605,1.00033959213477,15402.6249815796,14230.0137449208
"p1[73]",0.03149955976135,0.0298938795,0.0122128316210076,0.0114948705984,0.0147186272,0.0543405535,1.00015192067853,14068.6879848182,13056.7874808967
"p1[74]",0.266328065121938,0.26084857,0.0698384650672008,0.068529463674,0.159675329,0.3894279325,1.000031412525,14947.3365325054,13674.0251821363
"p1[75]",0.0612241070835813,0.057193726,0.0270399085809592,0.0256024463751,0.0251911619,0.111922177,1.00020694905566,14996.7473760017,14446.9801968077
"p1[76]",0.0419455526037687,0.038617326,0.0195877596698448,0.0179601519069,0.0164132572,0.0787890451,1.00030425456257,14935.9290216199,12933.2276107106
"p1[77]",0.0580711297429,0.0556589595,0.0203433621198679,0.0192303405462,0.02929128185,0.0955809347,1.00013496750343,15328.9706655223,13508.2966588298
"p1[78]",0.0370241255604938,0.0336509565,0.018499373147627,0.0165873932931,0.0135680084,0.0719288812,1.00018984915064,13035.2367622492,12364.248932323
"p1[79]",0.24006825166125,0.233953435,0.0763542751415823,0.076208360571,0.1271259165,0.3745565475,1.0004460435243,17818.9085126604,14214.2672989357
"p1[80]",0.161226264359625,0.158404095,0.0381673846688088,0.03793498968,0.1035282215,0.2288237245,0.999976148091968,15462.1951784785,13343.9641374025
"p1[81]",0.33534306358625,0.332866425,0.0612950101384059,0.061683580413,0.2395554895,0.4406518445,0.999994230615809,16786.9539242463,14383.6209164322
"p1[82]",0.0415718923487187,0.0384947185,0.0186078213950334,0.0173223766758,0.01706899365,0.07651907065,0.999984247329088,14347.7231588771,13187.2162688866
"p1[83]",0.0600217718467312,0.05663504,0.0237017795682157,0.0224849477727,0.02761025115,0.1036121775,0.999898383922884,14177.2717442244,12359.106254839
"p1[84]",0.187283089982188,0.183824885,0.0462952843613845,0.045563470764,0.1178390775,0.2696002085,1.0000454044527,15231.4165206565,12747.5198739491
"p1[85]",0.215721153469375,0.2118667,0.0503857002518664,0.050229509484,0.1396863415,0.3035661215,1.00026069287074,15816.5719405778,14795.1896425541
"p1[86]",0.16916447637175,0.166296535,0.0413377067908233,0.040671698781,0.1070636685,0.241919215,1.00024933757675,15056.5569798189,13309.1755261735
"p1[87]",0.00218951958911874,0.00145920725,0.00236172216497356,0.001344550695852,0.000216017133,0.00659671242,1.00009111961869,14709.4224014358,13449.6998893501
"p1[88]",0.50086870439125,0.500392075,0.0884970184599235,0.0900583279260001,0.3560952365,0.6453378605,1.00001493172718,17193.4937244787,13515.5337473833
"p1[89]",0.0557102033803875,0.053281164,0.0194505545345579,0.0186393835992,0.02836855455,0.09101817205,1.00027602813952,14219.518247137,12131.6323100358
"p1[90]",0.00532881701883994,0.00402287925,0.0046775061312524,0.00323471636838,0.00078967482,0.0143388238,1.00023024549466,14740.7566000044,12941.9870154159
"p1[91]",0.46660569567875,0.465425275,0.108876823492908,0.112515247887,0.291435643,0.650469896,1.00014779210586,13265.2031821863,12874.6995866781
"p1[92]",0.131425710777312,0.12917294,0.0307101083724261,0.030596964762,0.0848327543,0.1852688645,1.00000005975338,15192.8069469694,13686.8814830076
"p1[93]",0.0730945165958688,0.0685046795,0.0309266811219147,0.0286308859368,0.0313679966,0.1312434965,1.00010589038545,14879.349414933,13115.1251236223
"p1[94]",0.0231950132183444,0.019898089,0.0150353053433669,0.0126750261288,0.00571814391,0.0518076895,1.00015854744236,16282.7335544705,14731.6042430781
"p1[95]",0.0286222079839938,0.0266280265,0.0125804915827761,0.0115701644394,0.01195141615,0.05228374345,1.00025428332664,13629.9293553878,12238.6993622949
"p1[96]",0.0704711255385812,0.066315578,0.0285407678008021,0.0269404446906,0.0318066004,0.122625048,1.00020150933828,13131.9253387843,11717.3147982529
"p1[97]",0.0122400475857988,0.00986812735,0.00925026150598692,0.00698111306025,0.002430099185,0.02987596555,0.999963197973187,13702.729577453,13443.8627636877
"p1[98]",0.0283537975807313,0.0248699265,0.0161762087957003,0.0140295376431,0.008868812325,0.05971517255,1.00003439679281,13908.0602735725,14481.5581217077
"p1[99]",0.0398445916597812,0.0366040315,0.0186694152006766,0.0170157950109,0.0156364234,0.0748575422,1.00018403372148,13206.1327677221,12389.011811424
"p1[100]",0.0533314424800437,0.0504927545,0.0204122917468425,0.0195082205577,0.02525356235,0.0913916728,0.999997668537972,14312.2324856836,13815.3874512913
"p1[101]",0.0178301173151431,0.0150188995,0.0122458860097793,0.01003547758794,0.00401821004,0.04123014315,1.00025716190806,16530.1127194594,14851.5344722858
"p1[102]",0.159046580595062,0.15641515,0.040666878091127,0.039865742595,0.0982659737,0.2311439195,1.00008171058722,16466.5405673949,14038.3253501538
