"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"mu[180]",0.860799983797912,0.83471138,1.25524504002462,1.149950401992,-1.124287975,2.948365115,1.0002350038558,10473.9903702512,8760.70554825265
"mu[181]",-3.590874800855,-3.4925642,1.11518452656561,1.1037771675,-5.581254215,-1.95998546,1.00031941754322,3443.12755689161,5238.37006164802
"mu[182]",0.915111510600675,0.883036385,0.355335216033475,0.353016926703,0.399284321,1.54204977,1.00015834803078,4991.54436277318,7870.86377290261
"mu[183]",-5.30354585675625,-5.114701,1.70061023915305,1.64124249954,-8.34566054,-2.86509561,1.00044007613655,3506.00481136137,4760.52041149429
"mu[184]",-5.11514344067313,-4.90242645,1.8713911676165,1.83962965032,-8.49480765,-2.45703316,1.00021822725846,4063.5227998132,6883.69237807092
"mu[185]",2.75845643575401,2.62833055,1.15370209828391,1.10157691497,1.091716435,4.82853437,1.00036555632231,6218.65321422062,8853.56318979534
"mu[186]",-1.54190737734418,-1.4289593,1.03291430150962,0.969085878222,-3.381620085,-0.0792811455000001,1.00036201910998,6769.7431435563,7003.94611505355
"mu[187]",-5.79506097754437,-5.5151032,2.1853652883528,2.08221740664,-9.768984555,-2.749617135,1.00041959269521,4381.70773468683,6330.55908688405
"mu[188]",-3.82599603145969,-3.59184165,1.83145784866769,1.71785014653,-7.188092045,-1.304538085,1.00027903577661,6399.48806791225,8066.70613466045
"mu[189]",-2.308140350245,-2.23816125,0.729926544732062,0.7175531958,-3.609148185,-1.251107985,1.00032964414027,3500.96893096537,5252.02670523782
"mu[190]",-1.95972667524313,-1.9057364,0.605747830486409,0.59307395154,-3.03998748,-1.066192545,1.00044201018671,3553.92160504966,5127.87017400366
"mu[191]",-3.52672879427369,-3.34021805,1.47923120886187,1.42839755247,-6.257308945,-1.474353595,1.00016962183661,4720.51543381998,7378.99758320913
"mu[192]",3.78801298269,3.68396025,1.13760027085237,1.12139705307,2.11873424,5.81960945,1.0004531939491,3296.17301550389,4407.05266244833
"mu[193]",-0.518163933002056,-0.500190555,0.192696594500217,0.191579844771,-0.85938243,-0.238332297,1.00033670758767,5039.65259629505,8131.29731153701
"mu[194]",-2.90441860319638,-2.7316068,1.33072560094546,1.26552712251,-5.33801744,-1.06873605,1.00032295028101,6343.54225400241,8648.68873933612
"mu[195]",4.12637100100063,3.9549129,1.41837800735518,1.37020995027,2.132380905,6.724707,1.00034158402333,3899.40869730918,5946.71373548643
"mu[196]",-4.20523438050437,-3.98609,1.63244486495481,1.5860172804,-7.18950445,-1.9217811,1.00032504352626,4187.54053647069,6668.56804882134
"mu[197]",-1.52503322749,-1.45786565,0.53960055467197,0.51571833285,-2.505810935,-0.7728538795,1.00041757690876,3963.20781010826,6362.67083116287
"mu[198]",1.76823158882937,1.69398135,0.613903293181207,0.58783407249,0.911819021,2.88503231,1.00041765574355,3895.58216532009,5867.67962700435
"mu[199]",-1.12853636383609,-1.0234772,1.15323226583244,1.074977395632,-3.15194637,0.5569207385,1.00004254482548,9289.53297463678,8747.28290225812
